;$AXIOM;$NTERM;$TERM;$RULE;NTERM;TERM;ASSIGN;NL;END_OF_PROGRAM;$EPS
Grammar;NLsOpt $AXIOM NTERM NL NLsOpt NTermDeclOpt $TERM TERM TermList NL NLsOpt Rules;ERROR;ERROR;ERROR;ERROR;ERROR;ERROR;NLsOpt $AXIOM NTERM NL NLsOpt NTermDeclOpt $TERM TERM TermList NL NLsOpt Rules;ERROR;ERROR
TermList;ERROR;ERROR;ERROR;ERROR;ERROR;TERM TermList;ERROR;eps;ERROR;ERROR
NTermList;ERROR;ERROR;ERROR;ERROR;NTERM NTermList;ERROR;ERROR;eps;ERROR;ERROR
RightSideAlt;ERROR;ERROR;ERROR;ERROR;NTermOrTerm NTermOrTermListOpt;NTermOrTerm NTermOrTermListOpt;ERROR;ERROR;ERROR;$EPS
NTermDeclOpt;ERROR;$NTERM NTermList NL NLsOpt;eps;ERROR;ERROR;ERROR;ERROR;ERROR;ERROR;ERROR
NLsOpt;eps;eps;eps;eps;eps;eps;eps;NL NLsOpt;eps;eps
NTermOrTermListOpt;eps;eps;eps;eps;NTermOrTerm NTermOrTermListOpt;NTermOrTerm NTermOrTermListOpt;eps;eps;eps;ERROR
NTermOrTerm;ERROR;ERROR;ERROR;ERROR;NTERM;TERM;ERROR;ERROR;ERROR;ERROR
Rules;ERROR;ERROR;ERROR;$RULE NTERM ASSIGN RightSideAlt RSAListOrRuleListOrEndOpt;ERROR;ERROR;ERROR;ERROR;ERROR;ERROR
RSAListOrRuleListOrEndOpt;ERROR;ERROR;ERROR;ERROR;ERROR;ERROR;ERROR;NL NLsOpt RSAListOrRuleListOrEnd;eps;ERROR
RSAListOrRuleListOrEnd;ERROR;ERROR;ERROR;Rules;RightSideAlt RSAListOrRuleListOrEndOpt;RightSideAlt RSAListOrRuleListOrEndOpt;ERROR;ERROR;eps;RightSideAlt RSAListOrRuleListOrEndOpt
